WON_MORE_THAN_HALF,Eastern Conference,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,0,72.0,240.3,40.6,87.19999999999999,0.46499999999999997,13.3,36.650000000000006,0.36350000000000005,27.25,50.5,0.5395,16.85,21.85,0.771,9.45,34.2,43.599999999999994,22.799999999999997,6.8,4.0,12.35,19.75,111.30000000000001
1,0,72.0,242.8,41.65,87.30000000000001,0.477,12.95,34.95,0.37,28.75,52.35,0.5485,16.4,20.8,0.788,9.8,33.0,42.8,26.35,7.8,4.5,13.8,19.15,112.6
0,1,72.0,242.1,40.05,86.25,0.464,11.45,32.15,0.35650000000000004,28.55,54.150000000000006,0.528,17.4,22.85,0.7595000000000001,9.8,33.75,43.5,24.5,7.7,5.5,14.4,20.45,108.85
0,0,72.0,240.3,40.75,88.6,0.45999999999999996,13.5,36.6,0.3675,27.299999999999997,51.95,0.526,18.200000000000003,23.3,0.7815000000000001,9.35,35.85,45.15,25.75,8.05,4.55,15.0,20.35,113.2
0,0,72.0,240.3,41.0,88.75,0.46199999999999997,13.600000000000001,37.900000000000006,0.3605,27.4,50.9,0.538,17.2,22.55,0.7615,9.600000000000001,35.5,45.1,24.700000000000003,8.05,5.15,14.7,19.4,112.75
0,0,72.0,242.4,43.0,91.25,0.471,11.9,32.75,0.365,31.049999999999997,58.599999999999994,0.5305,17.4,22.1,0.787,10.15,34.6,44.75,26.75,7.95,5.85,14.15,19.15,115.3
1,0,72.0,240.0,40.95,86.55000000000001,0.473,12.95,33.6,0.38350000000000006,28.0,52.95,0.529,16.15,20.0,0.808,9.3,33.35,42.7,23.65,7.1,4.15,13.0,18.65,110.9
1,0,72.0,242.4,40.2,86.25,0.466,11.25,31.700000000000003,0.353,29.0,54.5,0.5315000000000001,16.55,21.9,0.7575000000000001,9.25,33.900000000000006,43.1,24.7,8.0,4.95,15.2,20.200000000000003,108.15
0,0,72.0,241.7,41.9,90.25,0.4645,12.05,33.25,0.36150000000000004,29.95,57.0,0.525,16.9,21.700000000000003,0.7794999999999999,10.5,35.099999999999994,45.6,26.15,8.4,5.15,14.05,18.5,112.8
1,1,72.0,241.4,39.150000000000006,84.45,0.46349999999999997,13.600000000000001,37.650000000000006,0.3615,25.55,46.85,0.5454999999999999,16.15,20.5,0.786,8.75,33.45,42.2,26.05,7.7,4.0,14.6,19.25,108.05
1,1,72.0,240.7,43.55,92.35,0.47150000000000003,14.600000000000001,37.85,0.3865,28.950000000000003,54.5,0.5305,15.399999999999999,20.1,0.77,9.95,35.8,45.75,25.3,7.55,4.699999999999999,13.5,17.8,117.15
