G_OFF,MP_OFF,FG_OFF,FGA_OFF,3P_OFF,3PA_OFF,2P_OFF,2PA_OFF,FT_OFF,FTA_OFF,ORB_OFF,DRB_OFF,TRB_OFF,AST_OFF,STL_OFF,BLK_OFF,TOV_OFF,PF_OFF,PTS_OFF,G_DEF,MP_DEF,FG_DEF,FGA_DEF,3P_DEF,3PA_DEF,2P_DEF,2PA_DEF,FT_DEF,FTA_DEF,ORB_DEF,DRB_DEF,TRB_DEF,AST_DEF,STL_DEF,BLK_DEF,TOV_DEF,PF_DEF,PTS_DEF,WON_MORE_THAN_HALF,Eastern Conference
72,241.7,42.8,91.8,11.2,31.4,31.7,60.4,16.4,21.3,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3,72,241.7,41.0,88.7,12.9,35.1,28.2,53.6,17.4,22.1,9.8,34.9,44.7,25.4,7.7,5.2,14.8,18.3,112.3,0,0
72,241.4,39.2,83.7,12.9,36.2,26.3,47.5,16.7,21.1,8.0,33.5,41.5,26.3,7.9,4.0,14.1,18.9,108.1,72,241.4,39.1,85.2,14.3,39.1,24.8,46.2,15.6,19.9,9.5,33.4,42.9,25.8,7.5,4.0,15.1,19.6,108.0,1,1
72,240.7,44.7,91.8,14.4,37.1,30.3,54.7,16.2,21.4,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1,72,240.7,42.4,92.9,14.8,38.6,27.6,54.3,14.6,18.8,9.6,33.8,43.4,25.1,7.0,4.8,13.2,18.3,114.2,1,1
72,241.7,40.7,90.9,13.1,37.6,27.6,53.3,17.6,23.1,10.5,33.0,43.5,25.6,8.8,5.5,14.3,20.9,112.1,72,241.7,43.0,89.3,13.1,33.5,29.9,55.8,18.5,23.5,10.0,35.8,45.8,26.8,7.6,5.5,15.3,19.9,117.7,0,0
72,242.1,42.5,89.1,10.6,30.4,31.9,58.6,19.0,26.1,11.7,35.7,47.4,26.0,7.6,4.4,14.6,18.0,114.6,72,242.1,41.9,89.3,14.5,38.1,27.4,51.2,16.6,21.1,8.9,32.9,41.8,25.9,7.7,5.9,13.3,21.3,114.9,0,0
72,242.1,39.4,86.5,11.8,30.0,27.7,56.4,16.4,20.9,9.7,35.5,45.1,21.4,7.0,5.1,12.9,20.5,107.0,72,242.1,37.9,86.2,12.0,35.6,25.9,50.6,16.9,22.2,9.7,34.4,44.1,23.6,6.6,5.4,12.8,17.9,104.7,1,0
72,241.0,38.8,88.0,11.9,35.1,26.9,52.9,15.5,21.3,9.9,35.7,45.6,22.1,7.0,4.4,16.1,18.1,105.0,72,241.0,43.4,91.7,13.6,37.3,29.8,54.4,15.3,19.8,10.1,37.0,47.1,25.8,9.0,5.3,13.1,18.6,115.6,0,0
72,240.7,38.3,89.2,10.9,31.8,27.4,57.4,16.6,21.4,10.4,35.1,45.4,21.8,6.9,4.4,12.8,17.2,104.0,72,240.7,42.2,89.7,13.7,36.8,28.5,52.9,15.2,19.3,9.8,37.6,47.4,26.0,7.6,5.3,12.7,18.7,113.3,0,0
72,242.1,41.4,86.9,11.3,30.1,30.1,56.8,19.6,25.5,10.0,35.0,45.1,23.7,9.1,6.2,14.4,20.2,113.6,72,242.1,39.4,86.9,11.9,33.0,27.5,53.9,17.4,22.8,9.8,33.2,42.9,23.5,7.2,4.7,15.6,21.0,108.1,1,1
72,242.8,43.3,88.3,13.1,34.6,30.3,53.7,15.6,18.7,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3,72,242.8,40.5,86.8,11.6,32.8,28.9,54.0,16.8,21.7,9.4,33.3,42.7,22.9,6.9,3.6,13.6,18.0,109.5,1,0
72,240.3,41.3,91.1,15.7,40.8,25.6,50.3,17.8,21.6,10.6,33.9,44.5,21.3,6.9,5.0,11.1,18.9,116.1,72,240.3,41.8,88.3,12.9,34.6,28.9,53.6,17.9,22.8,9.9,35.5,45.4,24.9,6.1,4.6,12.4,19.1,114.3,1,0
72,240.3,42.6,88.6,12.1,33.3,30.5,55.3,16.4,22.0,9.4,32.0,41.4,25.5,7.5,5.0,13.4,19.4,113.7,72,240.3,43.6,89.4,12.4,32.6,31.2,56.8,17.8,22.7,10.7,34.6,45.2,25.3,7.6,4.7,13.7,18.7,117.4,0,0
72,242.8,41.9,90.5,9.9,28.4,31.9,62.1,17.4,22.0,9.3,34.6,43.9,24.4,7.0,5.1,11.4,18.0,111.1,72,242.8,42.4,89.8,12.3,32.6,30.1,57.2,15.7,20.7,10.2,37.2,47.4,24.8,6.3,5.1,13.2,18.6,112.8,0,0
72,240.3,39.7,88.7,14.5,39.3,25.3,49.3,17.4,21.3,9.4,32.1,41.6,24.1,8.6,5.4,13.2,21.2,111.3,72,240.3,39.0,84.7,13.9,36.7,25.1,48.0,19.8,24.8,10.0,35.9,45.9,26.0,6.6,5.6,16.1,19.5,111.7,0,0
72,241.0,41.3,88.1,16.7,43.0,24.5,45.1,17.2,21.5,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,116.4,72,241.0,40.9,91.4,10.9,31.8,30.0,59.6,14.5,18.9,9.8,32.8,42.6,22.3,7.7,3.9,11.5,19.0,107.2,1,0
72,241.7,43.2,90.9,10.2,29.0,33.0,61.9,20.1,26.2,9.7,35.5,45.2,25.5,7.3,4.1,14.4,21.6,116.6,72,241.7,43.1,91.6,12.4,33.7,30.7,57.9,19.8,25.4,10.3,35.8,46.1,24.5,8.2,4.8,14.7,22.0,118.5,0,0
