G_OFF,MP_OFF,FG%_OFF,3P%_OFF,2P%_OFF,FT%_OFF,ORB_OFF,DRB_OFF,TRB_OFF,AST_OFF,STL_OFF,BLK_OFF,TOV_OFF,PF_OFF,PTS_OFF,G_DEF,MP_DEF,FG%_DEF,3P%_DEF,2P%_DEF,FT%_DEF,ORB_DEF,DRB_DEF,TRB_DEF,AST_DEF,STL_DEF,BLK_DEF,TOV_DEF,PF_DEF,PTS_DEF,WON_MORE_THAN_HALF,Eastern Conference
72,241.4,0.47600000000000003,0.37,0.542,0.7909999999999999,9.6,35.3,45.0,26.8,6.7,4.2,15.1,18.9,110.7,72,241.4,0.473,0.35600000000000004,0.541,0.774,8.7,33.5,42.1,24.1,8.5,5.1,12.7,17.7,111.6,0,1
72,242.1,0.45,0.336,0.51,0.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8,72,242.1,0.484,0.38299999999999995,0.545,0.779,9.9,33.8,43.7,25.4,8.5,5.9,14.3,20.2,112.3,0,1
72,240.3,0.47,0.36200000000000004,0.5539999999999999,0.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4,72,240.3,0.46,0.365,0.525,0.764,9.8,34.2,43.9,22.7,7.3,3.7,12.6,20.1,110.2,1,0
72,242.8,0.485,0.377,0.552,0.8029999999999999,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1,72,242.8,0.469,0.363,0.545,0.773,9.1,32.1,41.2,25.9,7.5,4.5,14.1,19.2,110.1,1,0
72,242.1,0.452,0.35100000000000003,0.515,0.759,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6,72,242.1,0.47600000000000003,0.36200000000000004,0.541,0.76,10.0,34.4,44.3,24.8,8.0,5.8,13.9,20.4,111.1,0,1
72,240.3,0.46799999999999997,0.376,0.541,0.785,8.0,35.1,43.0,27.7,8.2,4.8,15.0,21.2,113.7,72,240.3,0.452,0.359,0.511,0.778,10.7,36.6,47.3,23.8,7.9,4.3,15.0,19.5,112.7,0,0
72,240.3,0.444,0.33899999999999997,0.532,0.74,9.3,33.3,42.6,23.6,7.6,5.0,14.7,19.5,108.8,72,240.3,0.48,0.382,0.544,0.7829999999999999,9.9,37.7,47.6,25.8,8.5,5.3,14.7,19.3,116.7,0,0
72,242.4,0.474,0.364,0.54,0.792,9.0,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3,72,242.4,0.46799999999999997,0.366,0.521,0.782,11.3,35.5,46.8,26.1,7.4,5.3,14.8,18.1,115.3,0,0
72,240.0,0.48200000000000004,0.41100000000000003,0.529,0.8390000000000001,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114.0,72,240.0,0.46399999999999997,0.35600000000000004,0.529,0.777,9.2,32.0,41.2,22.9,7.1,4.2,12.8,18.1,107.8,1,0
72,242.4,0.47200000000000003,0.354,0.539,0.7390000000000001,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5,72,242.4,0.46,0.35200000000000004,0.524,0.7759999999999999,8.8,33.2,42.0,24.7,8.2,4.5,15.2,21.3,106.8,1,0
72,241.7,0.467,0.35600000000000004,0.525,0.7709999999999999,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3,72,241.7,0.462,0.3670000000000001,0.525,0.7879999999999999,9.8,34.9,44.7,25.4,7.7,5.2,14.8,18.3,112.3,0,0
